country,country_code,gdp_per_capita_2011_intl,tax_revenue_pct_gdp,year
Australia,AUS,16182.0,20.603675,1965
Austria,AUT,12328.0,33.640378,1965
Belgium,BEL,13643.0,30.788952,1965
Canada,CAN,16694.0,25.020417,1965
Switzerland,CHE,19802.512,16.034024,1965
Germany,DEU,14642.0,31.673092,1965
Denmark,DNK,17459.0,29.124718,1965
Finland,FIN,12226.0,30.036392,1965
France,FRA,14609.0,33.932325,1965
United Kingdom,GBR,15545.0,30.096794,1965
Greece,GRC,7187.0,17.374882,1965
Ireland,IRL,8051.0,24.540979,1965
Iceland,ISL,14100.0,24.860266,1965
Japan,JPN,9459.0,17.263834,1965
Luxembourg,LUX,18002.0,27.279263,1965
New Zealand,NZL,17341.0,24.980107,1965
Portugal,PRT,6363.0,15.669209,1965
Türkiye,TUR,3481.0,10.587963,1965
