country,gdp_per_capita_2011_intl,government_revenue_pct_gdp,year
United States,10009.72,5.53,1922
Switzerland,9997.38,5.59,1934
United Kingdom,9988.0,19.47,1938
Australia,9828.0,7.58,1940
New Zealand,10042.0,18.66,1940
Canada,9645.0,17.97,1941
Denmark,9776.0,12.26,1948
Sweden,10127.0,18.74,1949
Netherlands,9698.0,25.19,1952
Venezuela,10020.0,16.62,1954
Belgium,10010.0,19.78,1955
France,9881.0,18.85,1955
Norway,10044.0,18.64,1955
Germany,9846.0,30.12,1956
Iceland,10079.0,30.26,1957
Austria,9645.0,25.19,1959
Finland,9931.0,21.94,1960
Italy,10158.0,16.69,1961
Israel,9997.0,25.08,1965
Argentina,10076.0,11.14,1966
Japan,10370.0,20.48,1966
Greece,9900.0,21.93,1970
Ireland,9881.0,40.49,1970
Hong Kong,9787.0,13.62,1971
Spain,9885.88,13.0,1971
Portugal,10130.0,15.1,1972
Uruguay,9966.0,21.15,1979
South Korea,9756.2,15.66,1986
Chile,10005.0,25.07,1989
Oman,10327.0,41.29,1990
