country,gdp_per_capita_2011_intl,government_spending_pct_gdp,year
United States,10009.72,4.52,1922
Switzerland,9997.38,5.92,1934
United Kingdom,9988.0,19.47,1938
Australia,9828.0,7.07,1940
New Zealand,10042.0,18.53,1940
Canada,9645.0,22.76,1941
Denmark,9776.0,11.19,1948
Sweden,10127.0,19.48,1949
Netherlands,9698.0,23.0,1952
Venezuela,10020.0,14.79,1954
Belgium,10010.0,20.83,1955
France,9881.0,19.89,1955
Norway,10044.0,17.81,1955
Germany,9846.0,29.53,1956
Iceland,10079.0,29.05,1957
Austria,9645.0,27.35,1959
Finland,9931.0,22.47,1960
Italy,10158.0,17.26,1961
Israel,9997.0,27.8,1965
Argentina,10076.0,12.12,1966
Japan,10370.0,20.82,1966
Greece,9900.0,25.17,1970
Ireland,9881.0,44.13,1970
Hong Kong,9787.0,11.11,1971
Spain,9885.88,13.96,1971
Portugal,10130.0,22.82,1972
Uruguay,9966.0,20.15,1979
South Korea,9756.2,14.86,1986
Chile,10005.0,19.76,1989
Oman,10327.0,36.51,1990
